MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Gold/Min;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;jungleAllyTopPresence;jungleEnemyTopPresence;riverTopPresence
110853167109182164|game2;DK Canna;497;380;543.6366424198787;363.4140836441509;9.28591522608903;1;0;0;0.5;6;220.9765504300312;0.0;1998.2740478515625;0.1744421906693712;0.7099391480730223;0.0;0.006085192697768763;0.07065584854631508
110853167109182164|game2;KT Kiin;497;380;512.2414052269111;339.40967693725406;9.28591522608903;0;0;0;0.0;5;452.34516076301554;0.0;1652.2457275390625;0.09060175794455713;0.8029073698444895;0.035496957403651115;0.0;0.0
110853020184706735|game1;NRG Dhokla;781;962;511.61477762926876;383.3477653299708;9.161929449949854;1;0;2;0.75;7;473.41132743280406;534.7205200195312;3952.85205078125;0.28596008258774946;0.7374397797660014;0.0;0.051273227804542326;0.04679972470750172
110853020184706735|game1;WBG TheShy;781;962;462.2667300402285;322.56310235857933;7.392729280304365;1;2;0;0.5;5;590.9659227939139;0.0;0.0;0.1139022711631108;0.799036476256022;0.010667584308327599;0.0;0.00034411562284927734
110853020184706735|game3;NRG Dhokla;-938;-717;514.8298012198271;331.3454959145152;9.537394182823444;0;0;0;0.0;4;287.39890393215177;0.0;0.0;0.0650730411686587;0.798472775564409;0.011620185922974768;0.0;0.030876494023904383
110853020184706735|game3;WBG TheShy;-938;-717;574.0753359449159;376.63232789520663;10.1690096916197;0;0;0;0.0;6;313.3323643982239;232.8299560546875;1726.9114990234375;0.09528552456839309;0.8429614873837982;0.021912350597609563;0.0026560424966799467;0.06208499335989376
110853020184706729|game4;BLG Bin;708;271;506.5851109564039;336.79698399246206;8.337809806265003;1;1;0;0.25;6;152.07796088208647;0.0;171.875;0.13278688524590163;0.6363934426229508;0.0042622950819672135;0.002622950819672131;0.058360655737704915
110853020184706729|game4;GEN Doran;708;271;461.8641310864371;319.6792077992968;8.337809806265003;0;1;1;0.5;7;194.30403770233596;118.07959747314453;118.07959747314453;0.21770491803278688;0.6442622950819672;0.012786885245901639;0.01737704918032787;0.026885245901639345
110853020184706729|game5;BLG Bin;-1094;-843;483.8974458150271;345.07233632748273;8.84638840612481;1;1;0;1.0;6;245.88444322098832;0.0;429.9881591796875;0.3320101046553591;0.5063154095994226;0.02309635510645976;0.008300252616383976;0.007578491519307109
110853020184706729|game5;GEN Doran;-1094;-843;553.025652360031;398.34023223007716;9.225519337815873;0;1;2;1.0;5;165.33815700298285;3346.80126953125;3787.00390625;0.2959220498015157;0.6867556838686395;0.0;0.0267051605918441;0.01335258029592205
110853167109182156|game1;NRG Dhokla;-306;296;469.51388836759463;357.3638208326087;8.529723446322874;0;0;0;0.0;7;328.84576657762403;1117.1171875;1117.1171875;0.13537906137184116;0.7700361010830324;0.0148014440433213;0.0;0.018050541516245487
110853167109182156|game1;G2 BrokenBlade;-306;296;488.84792817925984;338.6616123873378;8.21380776312573;0;1;0;0.0;6;245.89841724287206;2175.400390625;2175.400390625;0.14332129963898918;0.6346570397111914;0.0;0.0018050541516245488;0.008303249097472924
110853167109182154|game1;T1 Zeus;1784;1300;596.827664701521;406.7068825286373;10.169251139479828;1;0;0;0.2;7;601.7537658182059;698.1036376953125;698.1036376953125;0.14145879381117776;0.8323334385854121;0.0;0.02083991158825387;0.03789074834227976
110853167109182154|game1;BLG Bin;1784;1300;484.1447825100179;324.5949168061294;8.779664027252771;0;1;0;0.0;8;184.65597548781128;0.0;0.0;0.09946321439848436;0.7451847173981686;0.024628986422481843;0.0;0.023997473950110516
110853167109182166|game1;G2 BrokenBlade;-1157;-1690;453.6487667247625;305.21175728405075;7.137609390127842;0;2;0;0.0;7;365.19843810286665;0.0;0.0;0.14956958393113343;0.7471305595408895;0.013988522238163558;0.009325681492109038;0.021162123385939743
110853167109182166|game1;BLG Bin;-1157;-1690;526.7303071174874;411.9600747116264;9.032549936179482;3;0;0;0.6;6;411.89484360396204;721.259765625;3108.8828125;0.1675035868005739;0.7209469153515065;0.01757532281205165;0.0;0.01685796269727403
110853167109182166|game2;G2 BrokenBlade;-695;-287;469.0238260674555;347.6145609224522;8.022360391995536;0;0;0;0.0;7;221.40755129927658;2223.755859375;2223.755859375;0.2497482376636455;0.6720375965088956;0.005035246727089627;0.006377979187646861;0.0436388049681101
110853167109182166|game2;BLG Bin;-695;-287;512.9257195512106;365.74383204452084;9.664733385632417;1;0;0;0.5;5;238.75505435687856;0.0;0.0;0.10473313192346426;0.5736824437730782;0.005706612957368244;0.0;0.016112789526686808
110853167109182152|game3;LNG Zika;787;905;551.7163294197295;388.15357013109104;10.487222109661639;0;0;2;0.6666666666666666;6;495.666999942208;1163.612060546875;1163.612060546875;0.10473623411628802;0.7373892953407778;0.0;0.013092029264536002;0.034270311898344244
110853167109182152|game3;KT Kiin;787;905;501.9967884540445;330.97925682239355;8.276060821479968;1;0;0;0.3333333333333333;8;487.2346339554488;0.0;1401.6544189453125;0.21332306507508664;0.6961879091259146;0.008471313053523296;0.0;0.0007701193685021178
110853167109182156|game2;G2 BrokenBlade;219;764;512.8994927795117;363.1169213568953;9.286393082718096;0;0;0;0.0;5;322.9759184553993;2040.9248046875;2040.9248046875;0.23020063357972545;0.8497008095740937;0.0;0.0017599436818021823;0.029919042590637098
110853167109182156|game2;NRG Dhokla;219;764;499.06466226852353;314.85294642358497;8.275629209769187;0;0;0;0.0;6;364.1324046778594;0.0;714.119873046875;0.12108412530799015;0.7434002111932418;0.06969376979936642;0.0;0.021471312917986624
110853167109182154|game2;BLG Bin;1010;820;553.1363503779762;375.58173025436264;8.909324354957121;2;0;0;0.3333333333333333;6;364.3079646134372;3774.04736328125;7500.70556640625;0.09651567944250872;0.6940766550522648;0.0156794425087108;0.005226480836236934;0.041463414634146344
110853167109182154|game2;T1 Zeus;1010;820;489.31778584956;323.768638260995;7.645590403899375;0;2;0;0.0;7;377.59923090850367;0.0;1555.477294921875;0.08013937282229965;0.8045296167247387;0.033449477351916376;0.0;0.016724738675958188
110853167109182164|game1;KT Kiin;116;563;550.588578470304;373.79639869074896;10.54815792182411;0;0;0;0;7;164.0691520434235;275.89202880859375;275.89202880859375;0.08954248366013072;0.8532679738562091;0.024509803921568627;0.0;0.015359477124183006
110853167109182164|game1;DK Canna;116;563;543.2617142850848;338.2358423435216;9.600718587528531;0;0;0;0.0;7;75.61695443851198;0.0;148.60223388671875;0.16437908496732026;0.7362745098039216;0.013071895424836602;0.004248366013071895;0.050980392156862744
110853167109182168|game1;FNC Oscarinin;-1303;-920;488.661541663393;311.5004166322676;8.273835072754878;0;0;0;0.0;8;294.02685583794266;219.10630798339844;835.4800415039062;0.09327115256495669;0.8044636908727515;0.002664890073284477;0.0;0.02631578947368421
110853167109182168|game1;WBG TheShy;-1303;-920;570.9577790664434;369.60673928062243;9.347538860822304;0;0;0;0;4;472.40363831454806;726.5950317382812;2939.26611328125;0.07961359093937376;0.929713524317122;0.01832111925383078;0.0;0.021319120586275817
110853167109182168|game2;WBG TheShy;-257;1283;532.5008932609398;429.5768359374858;9.856447478489159;0;0;0;0.0;5;546.0826316609113;2832.3837890625;2832.3837890625;0.060291060291060294;0.7945252945252945;0.0;0.0;0.00796950796950797
110853167109182168|game2;FNC Oscarinin;-257;1283;548.7387586581945;348.5138736624756;10.298723967908543;0;0;0;0.0;3;38.02340307912836;2097.692626953125;2097.692626953125;0.04608454608454608;0.7581427581427581;0.00796950796950797;0.0;0.0
110853167109182168|game3;FNC Oscarinin;506;1244;512.972399643654;393.25778174652044;8.591655954622775;2;1;0;0.4;5;500.44773401845475;0.0;424.2823486328125;0.16269695859289116;0.7497251740564309;0.0007328691828508611;0.0;0.05130084279956028
110853167109182168|game3;WBG TheShy;506;1244;481.0063855771898;314.6693993380592;7.8967426053518155;0;1;1;0.125;7;404.01533528721654;0.0;0.0;0.07182117991938439;0.7724441187248077;0.0;0.05826310003664346;0.0443385855624771
110853167109182166|game3;BLG Bin;1005;1282;495.74759913510155;403.02782903313584;8.589842461762494;3;0;1;0.5;6;354.404431920597;1153.0096435546875;3064.2119140625;0.22613065326633167;0.5789662598707824;0.0017946877243359654;0.035175879396984924;0.1037329504666188
110853167109182166|game3;G2 BrokenBlade;1005;1282;432.2711897669302;322.05593170975703;6.821345484340804;1;2;2;0.6;6;309.3130326602519;0.0;0.0;0.17623833452979182;0.5638908829863604;0.04594400574300072;0.0;0.011844938980617373
110853020184706735|game2;NRG Dhokla;-943;-1677;494.7376711138913;344.4648160993513;8.720628255679781;0;0;0;0.0;6;213.53829398435423;1101.000732421875;2242.641845703125;0.17679944095038436;0.7176799440950384;0.00034940600978336826;0.0;0.03494060097833683
110853020184706735|game2;WBG TheShy;-943;-1677;554.3286308610365;450.439407293373;10.237259256667567;2;0;1;0.6;4;374.94532862374035;2863.1767578125;2863.1767578125;0.018867924528301886;0.5604472396925227;0.0;0.007337526205450734;0.018518518518518517
110853020184706729|game1;GEN Doran;-988;-1724;453.63157676408724;308.92676718924406;7.200501218477576;1;2;0;0.25;7;532.3541823750618;0.0;0.0;0.2252224608775698;0.7045105860693465;0.017490027615833077;0.00490948143602332;0.016569499846578704
110853020184706729|game1;BLG Bin;-988;-1724;516.0359206575596;417.81855754586985;8.905883086011738;1;1;1;0.4;7;592.1762124706348;2633.259521484375;3969.179443359375;0.25099723841669225;0.7753912243019331;0.017796870205584535;0.029150046026388463;0.019331083154341823
110853020184706729|game2;BLG Bin;8;618;509.6207965765011;372.99340651763004;8.843196767564471;2;1;1;0.5;7;370.1792330987444;0.0;0.0;0.30468507601613404;0.7117592305305616;0.007136208501396215;0.0006205398696866273;0.022339435308718587
110853020184706729|game2;GEN Doran;8;618;509.115471046926;333.9570093579526;7.832545708414246;1;2;0;0.5;5;181.3067997233921;0.0;0.0;0.17995656220912193;0.6255041886441204;0.025131864722308408;0.0;0.004964318957493019
110853020184706729|game3;GEN Doran;296;488;510.7093158345937;344.5993108080068;7.894962216092532;1;1;0;0.5;5;414.14600212986977;0.0;2972.540771484375;0.15289982425307558;0.7121265377855888;0.0;0.0;0.140597539543058
110853020184706729|game3;BLG Bin;296;488;492.0140453068866;313.7773783163816;8.084441309278752;0;1;1;0.25;6;409.4207438847538;0.0;1397.644775390625;0.12372583479789104;0.6987697715289982;0.025659050966608084;0.0;0.08471001757469244
110853020184706741|game1;JDG 369;204;-680;495.97939443956295;339.2645603075513;7.327255445108164;2;2;1;1.0;5;532.1762238624456;0.0;1547.5771484375;0.25888324873096447;0.6570431472081218;0.010786802030456852;0.0038071065989847717;0.0656725888324873
110853020184706741|game1;KT Kiin;204;-680;483.0935314154072;382.21743705473705;7.769417411623312;0;3;3;0.75;8;588.5893794027867;3234.454833984375;6978.87744140625;0.2956852791878173;0.7798223350253807;0.0;0.0012690355329949238;0.05805837563451777
110853020184706741|game3;KT Kiin;519;721;502.73116907936094;346.4213899789036;7.202633313440637;1;1;1;1.0;6;346.6598612110552;1038.5858154296875;1038.5858154296875;0.13303769401330376;0.7623798965262379;0.0029563932002956393;0.0;0.005543237250554324
110853020184706741|game3;JDG 369;519;721;469.94023320501276;300.8678933210905;6.6971853616202415;1;2;0;0.5;5;331.8030725979164;0.0;135.09713745117188;0.08980044345898004;0.7993348115299335;0.019955654101995565;0.0;0.009608277900960829
110853020184706747|game1;LNG Zika;-931;-162;464.5793988523189;357.4999752658788;8.71797076986946;1;1;0;1.0;6;401.65027978791403;35.57609176635742;35.57609176635742;0.24263883712262393;0.7540067089079389;0.049944092433842714;0.01714498695490123;0.049198658218412225
110853020184706747|game1;T1 Zeus;-931;-162;523.3941146983223;367.73411486529073;8.402102263714768;1;1;1;0.6666666666666666;6;354.87089434321564;1304.021728515625;8163.4638671875;0.23183004099888185;0.7625792023853895;0.01528140141632501;0.01006336190831159;0.048825941110696984
110853020184706753|game3;WBG TheShy;217;2123;492.12947961508445;435.7001491969706;9.79456463024372;0;0;0;0;3;421.33258675974474;4495.57861328125;4894.3408203125;0.2883435582822086;0.6409238542042583;0.04366654637315049;0.016961385781306387;0.06351497654276435
110853020184706753|game3;BLG Bin;217;2123;478.41708913274323;301.54620913240666;7.456507266895218;0;0;0;0.0;6;239.39489245285208;0.0;3340.17138671875;0.057740887766149405;0.5110068567304222;0.012991699747383616;0.0;0.032118368819920605
110853020184706741|game4;KT Kiin;606;326;529.4563199777599;325.8970071675106;8.084266844465379;0;0;0;0.0;7;268.34150752928645;0.0;3417.11962890625;0.11539740605254406;0.6158962421017625;0.0016627868307283007;0.0;0.05520452278017958
110853020184706741|game4;JDG 369;606;326;491.1823691359942;305.30739004801285;8.084266844465379;0;1;1;0.3333333333333333;7;517.4755416136786;0.0;1436.5;0.2593947455936149;0.5942800133022946;0.008646491519787164;0.0;0.03192550714998337
110853020184706747|game3;LNG Zika;-1525;-1788;447.84377772722723;317.78590207978567;7.706197585715334;1;1;0;0.5;6;191.21099913606488;0.0;0.0;0.255379188712522;0.6324514991181658;0.0021164021164021165;0.0;0.030687830687830688
110853020184706747|game3;T1 Zeus;-1525;-1788;544.1712475486689;430.7259125983022;10.106488637003718;0;0;0;0.0;7;398.5379738231604;3483.23681640625;5665.96240234375;0.21904761904761905;0.8119929453262786;0.04409171075837742;0.0;0.016931216931216932
110853020184706753|game1;WBG TheShy;1986;2738;534.9737175894405;448.05391177965544;8.464574112290121;5;0;0;1.0;8;622.0482984724514;915.8015747070312;915.8015747070312;0.17339901477832512;0.6886699507389162;0.015106732348111659;0.008866995073891626;0.006568144499178982
110853020184706753|game1;BLG Bin;1986;2738;409.52114902967804;275.09865864942896;6.569520206553527;0;2;0;0.0;7;253.2021805687751;0.0;0.0;0.1553366174055829;0.684072249589491;0.07192118226600985;0.0;0.029556650246305417
110853020184706753|game5;WBG TheShy;32;-293;518.9561991200976;334.70653592227325;9.411450057070903;0;0;0;0.0;5;298.2029941891451;926.970458984375;5154.47412109375;0.2050438596491228;0.6937134502923976;0.012426900584795321;0.0;0.023757309941520467
110853020184706753|game5;BLG Bin;32;-293;516.9349481011293;353.2136155647013;9.853598717470208;0;0;0;0.0;9;249.8665322050565;627.677978515625;904.5341796875;0.13157894736842105;0.6366959064327485;0.021929824561403508;0.006578947368421052;0.05263157894736842
110853020184706741|game2;JDG 369;-15;-310;529.9427796974122;335.24283881406774;9.352674862296329;0;0;0;0.0;4;447.81540582726507;1027.8321533203125;1027.8321533203125;0.0840365682137834;0.8382559774964838;0.0010548523206751054;0.022855133614627286;0.017932489451476793
110853020184706741|game2;KT Kiin;-15;-310;530.8906859334558;354.8329010256343;9.163093615087618;0;0;0;0.0;7;330.6831691393805;775.9295043945312;2250.729736328125;0.04430379746835443;0.6947960618846695;0.05520393811533052;0.007735583684950774;0.08333333333333333
110853020184706747|game2;LNG Zika;24;22;540.8904738510371;372.00430768129473;10.0422215486122;0;0;1;0.5;5;233.66219894295585;661.6430053710938;1263.6363525390625;0.04286208088489457;0.7023850674040788;0.017283097131005877;0.0;0.047701348081576216
110853020184706747|game2;T1 Zeus;24;22;539.3746668248315;370.61481790727294;10.105380174704102;0;0;0;0.0;6;170.32222309483774;1353.030029296875;1353.030029296875;0.12132734185966125;0.7718631178707225;0.0;0.0;0.0034566194262011752
110853020184706753|game2;BLG Bin;-1517;-1445;387.9249926633136;332.12799502172606;5.307981655598362;2;3;0;0.25;5;494.3445142232737;0.0;3355.198486328125;0.29314767314034446;0.5349945034811286;0.04140710883107365;0.0;0.07365335287651155
110853020184706753|game2;WBG TheShy;-1517;-1445;483.78461375310786;423.43791754957886;7.8355919677880586;3;1;1;0.8;7;573.1166318442832;1843.1524658203125;2084.781982421875;0.25100769512641996;0.7449615243679003;0.0;0.002565042139978014;0.04873580065958227
110853020184706753|game4;BLG Bin;127;186;452.0507627550112;344.1699882984569;7.010987098757334;0;0;1;0.16666666666666666;7;259.9276403738258;3217.44091796875;6204.083984375;0.14271047227926079;0.5646817248459959;0.009240246406570842;0.0;0.04483230663928816
110853020184706753|game4;WBG TheShy;127;186;444.02918292129783;332.4218477545932;8.337390063387101;0;1;0;0.0;7;454.57095306048194;1198.422119140625;3499.808837890625;0.26317590691307324;0.6718001368925394;0.021218343600273786;0.0;0.007529089664613279
110853020184706759|game2;JDG 369;-495;465;522.688695583152;372.0856196500804;9.412692245816976;0;0;0;0.0;6;128.7577222643498;3100.6787109375;3100.6787109375;0.19215686274509805;0.6677361853832442;0.0010695187165775401;0.006060606060606061;0.02459893048128342
110853020184706759|game2;T1 Zeus;-495;465;553.9590490172419;342.71043915138983;9.475864676996954;0;0;0;0.0;7;219.50209725329054;0.0;3616.199462890625;0.056327985739750445;0.6787878787878788;0.023172905525846704;0.0;0.021746880570409983
110853020184706759|game3;T1 Zeus;-714;-475;470.880334518749;341.2698118584575;7.5163997059330825;0;2;3;0.6;7;566.0501704257673;1904.059814453125;2373.905517578125;0.08378932968536251;0.7356361149110807;0.02667578659370725;0.0;0.0560875512995896
110853020184706759|game3;JDG 369;-714;-475;515.9787327543474;371.27224765945095;9.28496434262322;1;2;2;0.6;7;333.8048554737786;944.14794921875;944.14794921875;0.28283173734610123;0.6987004103967168;0.016415868673050615;0.002051983584131327;0.08618331053351573
110853020184706765|game2;WBG TheShy;-1709;-1845;417.21846036766544;248.54895556286402;5.561227584422078;0;3;0;0;4;321.2330373878727;0.0;0.0;0.13458702064896755;0.6806784660766961;0.008849557522123894;0.01696165191740413;0.032079646017699116
110853020184706765|game2;T1 Zeus;-1709;-1845;525.2200278878624;365.1451475317133;8.784211752666693;1;1;1;0.6666666666666666;7;511.21877097085445;254.30911254882812;254.30911254882812;0.21902654867256638;0.7949852507374632;0.0;0.007374631268436578;0.024336283185840708
110853020184706765|game3;WBG TheShy;-1005;-348;464.93909983667356;374.79397816997067;8.528094901895507;0;2;2;0.6666666666666666;9;363.84869520026905;538.0667114257812;1559.7791748046875;0.1498200850507033;0.7791952894995093;0.0;0.0;0.033366045142296366
110853020184706765|game3;T1 Zeus;-1005;-348;528.4260285507845;396.77751169485686;8.27541060850601;2;1;1;1.0;7;148.03650599471666;901.118408203125;1758.09814453125;0.16748446189074256;0.6983971213608112;0.016683022571148183;0.004579653254824992;0.038599934576382076
110853020184706759|game1;T1 Zeus;2096;1624;457.8273327702502;407.48401265188795;6.695598409719443;4;2;1;0.5;7;355.5455962455897;2496.261962890625;5059.509765625;0.27037037037037037;0.6602693602693602;0.013468013468013467;0.0013468013468013469;0.08653198653198653
110853020184706759|game1;JDG 369;2096;1624;325.4313491214582;304.90239173316746;4.232123523124553;2;5;2;1.0;7;485.4656445228336;783.3035888671875;946.76611328125;0.2367003367003367;0.5683501683501684;0.07744107744107744;0.0;0.04410774410774411
110853020184706759|game4;JDG 369;-223;-982;498.0377540451176;297.5593987706467;7.769009987006907;0;0;1;0.3333333333333333;5;248.08762838594456;0.0;0.0;0.14285714285714285;0.5711265478707339;0.001812141347025068;0.03503473270915131;0.07701600724856539
110853020184706759|game4;T1 Zeus;-223;-982;512.1230323142439;359.5851533010595;9.663890471642738;0;0;0;0.0;5;407.27593958181853;288.5977783203125;502.7196350097656;0.10359408033826638;0.7828450619148294;0.01389308366052552;0.005134400483237693;0.03835699184536394
110853020184706765|game1;WBG TheShy;-117;-298;535.0040775362556;360.7755681673817;8.212366286422627;1;1;1;0.5;6;350.8038541650686;968.1780395507812;2149.3935546875;0.23265677067555288;0.8712511360193881;0.0;0.0;0.002726446531354135
110853020184706765|game1;T1 Zeus;-117;-298;542.3952071940361;379.6008385777967;10.170699785492639;0;2;1;0.5;6;578.6102495839857;724.592041015625;1957.5924072265625;0.17843077855195397;0.8112693123295971;0.02726446531354135;0.016661617691608604;0.023932141775219632
